Description,Vague/Not
"If interested, please send a message with an introduction of who will be renting and the contact phone number.

$1195 per month, utilities excluded.
Available October 1st / move in date flexible after Oct 1.

Bachelor/studio apartment
Private entrance
Washer/dryer in unit 
Central heat and air conditioning
Lots of storage with 4 closets
Comfortable basement ceiling height 7 feet.
Driveway parking available for $50 per month
Smoke-free property

Centrally located in the hip Junction Triangle. The building is on a quiet street, but minutes away from Dundas West Subway Station, Bloor Go Train Station, Union Pearson Express, West Toronto Rail Path (paved biking and jogging trail), grocery store and pharmacy. Lots of cultural hot spots nearby like the Museum of Contemporary Art, Cafe Neon and Halo Brewery. 

If interested, please send a message with an introduction of who will be renting and the contact phone number.

Application requirements:
-Filled out application form
-Proof of employment and salary
-2 previous landlord references
-Permission to do credit check

Requirements at time of signing lease: 
-First and last months’ rent
-Proof of contents (renters) insurance",1
"1 Bed+DEN / 1 Bath, Unobstructed Views, Upgraded Bath, Kitchen, Backsplash, Granite Countertops, Stainless Steel Appliances, Hardwood Floors, Tons of Natural Light, En-Suite Washer/Dryer, Conservation View, Juliette Balcony, Close to St.Clair West Station,Deer Park,Forest Hill South

Call or Text: 
 
Email: Properties @ RoyalYorkPM.com 
 
412-111 St. Clair Avenue West Toronto, Ontario M4V 1N5
Spadina Road and St. Clair Avenue West 

$2,000 (Parking and Locker Available at an extra cost)
Discounted Cable,Phone & Internet (Throughout The Term) 

Tons of Natural Light!!
Close to Downtown Toronto!!

UNIT AMENITIES: 
- 1 Bedroom +Den | 1 Bathroom 
- Hardwood Floors 
- Upgraded Backsplash 
- Upgraded Granite Countertops 
- Stainless Steel Appliances 
- Upgraded Bathrooms 
- En-Suite Laundry 

BUILDING AMENITIES: 
- 24/7 Security
- Concierge Service 
- Fitness Centre 
- Yoga / Pilates Room
- Spin Bike Room
- Party Room 
- Indoor Pool
- Squash Court
- Outdoor Patio
- Media Room
- Golf Range

Available September 7, 2020!! 

** Call or Text: 
 **",1
"Modern Luxury 1 Bed Located In A Premium Location In The Heart Of The City In A Newer Building! This Large 1 Bed Boasts Premium Finishes, Integrated Appliances, Quartz Counters, Large Open Living Space, Large Bdrm With Built In Closets. Steps From The St.Lawrence Market, Next To Future Google Office, King St Subway Station, Financial District, Shopping, Restaurants, Metro Grocery Store, Parks & So Much More!",0
"Hello! I am planning to move to another city and am looking for someone to take over the lease for one of the rooms in a 2 bedroom unit. The unit is on the 20th floor of a modern high-rise apartment in downtown Toronto (north of the Eaton Centre).

At this time, I am looking for another female who will rent the room until the lease is up for renewal in May 2021, so I am looking for someone wanting to rent the room long term.

The bedroom for rent is a large master bedroom with large closets and an ensuite bathroom (separate shower and bathtub). The rent is $1450 per month excluding internet and hydro. The unit has a gorgeous view of the CN Tower, an extra large balcony, a washer and dryer, and a dishwasher. The building has a gym, a swimming pool and a 24/7 concierge.

The other bedroom is currently occupied by a friendly, young working professional female who works full-time remotely from home between Monday to Friday, 9am-5pm.

If you are interested in taking over the lease for the room, please reply with an introduction of yourself (what you do for work or if you're in school, hobbies/interests, what type of roommate you are, etc.).

The posting will stay up until a suitable person has been found to take over the lease for the room. Thank you!",1
"Brand New 1 + Den At 592 Sqft + 129 Sqft Balcony With North West View. This Unit Comes With Parking + Locker! Miele Appliances With Modern Finishes. Everything At Your Door Steps, George Brown, Loblaws, Path, Loblaws, Sugar Beach & Union Station.",0
"353 Goldenwood Rd, North York, ON.

$1900 private suite with your own washroom, kitchen, floor and private entrance

or

$950 Master bedroom with newly renovated washroom and walk out backyard

$900 large bedroom with newly renovated washroom

$750 first floor room with private washroom and floor

2 x $600 Half basement rooms for rent!

1 Year lease or longer.

Ready to move in on September 01, 2020!

I have a perfect house for students and professionals who want to live in a house that's beautiful, quiet within a great neighborhood that's also close to their school and have an easy access to 24 hour public transportation.

I'm looking for clean, quiet and respectful tenants with stable financial situation (credit check and other financial documents will be required upon signing the lease).

All rooms include:

- FASTEST internet in North America with UNLIMITED data. (1 Gigabit/Sec Download speed which is more than 20 times faster than the average internet!)

- All utilities with a washing machine and a dryer

Highlight features of my neighborhood are:

- #53 bus close to the house that goes directly to Finch Subway Station

- 3 mins walking distance to steeles ave and bus stop (24/7 Serivce)

- 3 mins walking distance to shoppers, gas station and plaza.

- 3 mins walking distance to a beautiful park that has baseball diamond, free tennis courts (open till 11pm everyday)

- 3 mins walking distance to a forest (longest forest trail in GTA with WATERFALL and Ravine!)

- less than 10 mins walking distance to Leslie street.

- Part of A.Y Jackson High School district.

- 5 mins walking distance to the Canadian Memorial Chiropractic College.

- 10 mins to Seneca College by Bus.

Everyone is welcome to call me at 
 and set an appointment to see the beautiful house and it's surroundings for yourself!!!",1
"353 Goldenwood Rd, North York, ON.

$1900 private suite with your own washroom, kitchen, floor and private entrance

or

$950 Master bedroom with newly renovated washroom and walk out backyard

$900 large bedroom with newly renovated washroom

$750 first floor room with private washroom and floor

2 x $600 Half basement rooms for rent!

1 Year lease or longer.

Ready to move in on September 01, 2020!

I have a perfect house for students and professionals who want to live in a house that's beautiful, quiet within a great neighborhood that's also close to their school and have an easy access to 24 hour public transportation.

I'm looking for clean, quiet and respectful tenants with stable financial situation (credit check and other financial documents will be required upon signing the lease).

All rooms include:

- FASTEST internet in North America with UNLIMITED data. (1 Gigabit/Sec Download speed which is more than 20 times faster than the average internet!)

- All utilities with a washing machine and a dryer

Highlight features of my neighborhood are:

- #53 bus close to the house that goes directly to Finch Subway Station

- 3 mins walking distance to steeles ave and bus stop (24/7 Serivce)

- 3 mins walking distance to shoppers, gas station and plaza.

- 3 mins walking distance to a beautiful park that has baseball diamond, free tennis courts (open till 11pm everyday)

- 3 mins walking distance to a forest (longest forest trail in GTA with WATERFALL and Ravine!)

- less than 10 mins walking distance to Leslie street.

- Part of A.Y Jackson High School district.

- 5 mins walking distance to the Canadian Memorial Chiropractic College.

- 10 mins to Seneca College by Bus.

Everyone is welcome to call me at 
 and set an appointment to see the beautiful house and it's surroundings for yourself!!!",0
"Hello All,

I have an amazing, fully furnished room located Downtown Toronto. The building is a new highrise condo. 3 minutes walk from Sherbourne Subway station. 

Price is $985 and includes everything (utilities & internet). The room has a full-size bed, study desk, and a Smart TV. 

The building has a concierge/doorman, security, game room, fitness centre and so on.

Available immediately, and short term is ok (not less than a month though).

Preferably a student or young professional would be a good fit.

Please contact if you would like to see the room",1
"Bright, Elegant & Spacious Unit With Unobstructed North-East Views. Open Layout With 9 Ft Ceilings & Large Balcony With 2 Walk-Outs. Parking And Locker Included! Chic Building With Unbeatable Amenities - Including Rooftop W/Whirlpool & Bbqs, Gym, Party Room, Half Basketball Court, Media Room, Meeting Rm, Yoga Studio & Large Lobby With 24-Hr Concierge. Green Building Design. Convenient Yonge/Eglinton Location With Coveted Restaurants And Great Community Vibes.",1
"Bachelor unit on second floor in quiet building available for short term rental for October and November. Private bathroom, kitchenette (stovetop but no oven). Backyard with fire pit available for socially distanced hangs. Close to NoFrills and Lansdowne Station on the Bloor line. Available furnished or partially furnished. 

Accessibility information: There is a set of stairs up to the front porch of the house as well as two flights of stairs up to the unit. 

Rent is $1200 per month with all utilities and internet included.",1
"Gorgeous Boutique Building 568 Sq. Ft. Condo @ St. Clair & Bathurst With Terrace. Oversized Bdrm. Walk To Subway, Groceries, Parks & All Amenities Within Minutes. Enjoy The Boutique Club Features W/ A Fully Equipped Exercise Room, Rec Room, Yoga Room & Party Room. A Catering Kitchen For Parties, A Walk-Out To A Large Terrace W/ Common Bbq, Concierge & A Computerized Entry Phone System.",0
"Just A Few Minutes Walk To The Glencairn Subway, This 2nd Floor Apartment In The Heart Of Marlee Village Is Freshly Renovated From Top To Bottom. Designer Kitchen W/Quartz Counter Top, Lazy Susan, Stylish Backsplash, Breakfast Bar, Brand New S/S Fridge & Stove, S/S Dw, Stunning Bathroom W/Huge Stand Up Shower. Two Spacious Bdrms. Den Is Combined W/Laundry & Furnace Room. Brand New Light Fixtures (All Led) . No Pets Or Smokers",1
"My apartment is a 2bed/2bath, all around outfitted, pet friendly, and a safe street parking and off-street parking space. The Utilities Included are Heat, Gas, Electricity, Water, Dryer, Washer, and web/Cable. The room is available for immediate lease, monthly rent is $550, application charge is an additional $50; take note of that the security deposit will be required.
New York, NY 10128
 contact==== (646) four93-3o51",0
"Looking for a nice and clean girl to share a room in basement located near to Bramalea city centre and Bramalea bus terminal. Very convenient to go for groceries and shopping stores. Hydro bills and electricity bills included in rent plus wifi is included. Separate Laundry available. Moreover a separate entrance to the basement and have a beautiful backyard.Available from 1st September 2020. Good for any working girl or student girl. Only for $450/ month. For more details please call or leave a message on 
.",0
"Islington Terrace At Islington And Bloor. This Spacious 2-Bedroom With 2-Bathroom Unit Features 692 Sq. Ft. Plus Open Balcony. Located Less Than A Minute Walk From The Subway Station, Short Walk From Shops, Islington City Centre, And Restaurants. Beautiful Amenities: 24 Hr Concierge, Outdoor Pool, Steam Room, Sauna, Whirlpool, Fitness Center, Yoga Room, Bbq Area, Outdoor Lounge, Theatre Room, And More!",1
"Beautiful Large Two Bedroom And Two Full Baths- Available In The Highly Desired Minto Westside. Location Is Incredible! Building To Include A Grocery Store, Lcbo, Gym, Pool And More! Walking Distance To Lake, Rogers Center, Entertainment Dist, Restaurants, Shopping And Transit.",0
"MOVE-IN SEPT 1
Two yogis hoping to find a clean and considerate roommate! We live in a lovely 2nd floor walk-up apartment on a tree-lined street in Clinton Hill, about an 8-minute walk to Fort Greene Park. We live near the Clinton-Washington G stop, and half a block away from Myrtle Ave, filled with bodegas and restaurants (for take-out or outdoor seating).

We are both working and studying from home, we both practice yoga and meditation every day and study most of the time. We leave for long walks every day and are discrete. We deeply value our peace and we keep a clean and safe environment, and hope to find someone who is seeking just that!
100% LGBQT AND BLM . we take all of the COVID-19 precautions, wearing masks and sanitizing constantly.

-**It comes furnished but we can accommodate you if you need it unfurnished **

The room comes with a Full size Beauty Rest bed, nightstand, lamp, one dresser, and one cube book shelf/storage. (please see pictures, and note that pillows/comforter are decorative). It's a very large bedroom, you can fit a large desk and a chair easily, and you have TWO windows. There is an A/C in the room for hot days! (please note that you may use the A/C at a extra cost, additional to the basic utilities costs). If you have your own furniture we can definitely work something out!!

Rent is $950 plus $50 utilities, including paper towels, toilet paper, and cleaning supplies (this includes ALL cleaning supplies, and hand soap)

You would be living with:
One 32-yr old female (she/her) yoga instructor/ grad student
One 26-yr old celibate male (he/him) yoga practitioner and VR designer and grad student
One 2-yr-old male tuxedo cat called Rain (super cute and friendly, grateful rescue cat)

No smoking please! (420 is ok, discretely!)

*About the apt*
Beautiful 2.5 br/ 1 bath. Separate kitchen. Super high ceilings! Peaceful and sunlit all day (we face East and West- sun lights up the kitchen in the morning, and the bedrooms in the afternoon).

Clinton Hill is a beautiful and safe neighborhood, very close to Manhattan (if you cycle it takes 15 minutes to cross over the Manhattan Bridge), and generally a centric spot to all Bk neighborhoods.

We hope to find someone who is working/studying and who likes cats, and preferably pescatarian/vegetarian, but will accept exceptions for the right person. If you practice yoga that would be amazing!

(No party animals please, no bringing the party home. Occasional guests, if communicated to us can be accepted, and partners are welcome, but keeping all precautions, prioritizing a safe and healthy space).


**IMP: please send us Facebook and Instagram social media link and handle to be considered!**

Please reach out if you have any questions!
Thank you!",1
"Recently Updated 2 Bedroom Plus A Large Den, Living And Dinning Room. In One Of The Best Neighbourhoods In Toronto. Located In A Family Friendly Cul-De-Sac That Is Also Walking Distance From Some Of The Best Public And Private Schools, Bedford Park P.S, John Wanless P.S Tfs, Crescent....Public Library, Transit As Well As Shops And Restaurants At Yonge And Lawrence. The Apartment Is On The Upper Floor Of A Triplex And Was Recently Updated. Coin Laundry.",0
"Gorgeous large 3 Bed 2 Bath in a beautiful Pre-War, Doorman building + LAUNDRY IN UNIT Overlooking The Museum on tree lined Eastern Parkway!!


APARTMENT FEATURES:
-3 King Size bedrooms all with closets and views of the park/Museaum
-Humongous open living room
-BRAND NEW OPEN Chefs kitchen with all new stainless steel appliances Including dishwasher Microwave
-2 Luxury bathrooms (one in master bedroom)
-Tons of closets
-Parquet wood flooring
-Washer and dryer in unit
-Heat and hot water included

- 24/7 Doorman service
- Laundry Room
- *2 Elevators
- Live in super


This unit is conveniently located steps to all the best restaurants, bars health food stores, shops, parks and so much more Crown Heights / Prospect Heights has to offer!!
Steps to the 2,3,4 and 5 trains!

For more info and exclusive access call text or email Benny at anytime!
Cell (646)-963-5926
Email Benny @zjamarealty .com",1
"Newly renovated large 3 Bedroom apartment in the heart of Prime Danforth. 1050 Square feet and steps away from the Subway, restaurants, grocery, cafe's, artisanal bakeries, butcher shops and weekly farmers market. Full service community with great schools, hospitals, amenities and transportation just steps away from your front door. The apartment has 2 large bedrooms and 1 small bedroom suitable for an office/den or young child. A newly renovated dine-in kitchen with quartz countertops and new stainless steel appliances. Newly renovated bathroom and brand new private in-suite laundry for your use only. There is a massive 500 square foot private roof terrace for your use only and 1 parking space is available. Brand new A/C & Heat system. You are right on the Danforth and downtown in 10 minutes on the subway! Please feel free to call with any questions or to arrange a showing.",1
"TEXT OR CALL 646-404-4429


3100 SQUARE FEET

$15,000 PER MONTH

PROPERTY #153

CORNER CREATIVE LOFT / OFFICE IN PRIME SOHO

HIGH CEILINGS + LOTS WINDOWS, GREAT NATURAL LIGHT, HARDWOOD FLOORS AND LARGE DRAMATIC OPEN SPACE 

VERY COOL SOHO OFFICE SPACE - GREAT SPACE FOR ANY TECH, MEDIA, FASHION, HEDGE FUND / FIN-TECH 

TEXT OR CALL 646-404-4429

EMAIL INFO@NYC-COMMERCIAL.COM 

NYC-COMMERCIAL IS MANHATTAN OFFICE SOLUTION. EVERY OFFICE LISTING ON THE MARKET. LET US HELP YOU FIND THE PERFECT OFFICE SPACE.",1
"CALL TODAY, FREE ESTIMATES!
 
 | 

 
 | 

 
 | 

Carpet Cleaning- 2 Rooms Any Size $89.95 Plus Free Hall & Staircase
Upholstery Cleaning- Sofa $74.95, Loveseat $59.95, Additional Chair $24.95
Tile & Grout Cleaning- Free Sealant & Grout Lightener With Any Service
Hardwood Floor Refinished- Refinished As Low As $100 Per Room
Power & Window Washing- Free Gutter Cleaning With Power Washing, Free Window Guard With Sheeting Action With Any Window Washing
Painting & Drywall/Sheetrock- 20% Off Any Sheetrock/Drywall Repair
Flooring Installation- Installed As Low As $2/Ft
Tile Repair & Installation- Installed As Low As $499 Per Room

Tile & Grout Cleaning

With over 40 years of experience, our technicians will know the proper method for cleaning of tile or natural stone.

Tile & Grout Cleaning in Long Island (including Nassau & Suffolk Counties), Queens, Westchester, Rockland, Putnam & Fairfield Counties

Your mop just cannot reach the build up of grime and stubborn dirt that seeps into the pores of tile and grout in your kitchen, bathrooms, and shower areas.
Our team of skilled technicians are masters at cleaning, stain removal, sealing, stripping, and polishing natural stone, ceramic, porcelain, and laminate flooring.
Our technicians have the know how to protect the beauty of your flooring. We will take extra care to properly match the cleaning method that will best suit the variety of materials your floor can be made from.
As the largest home service company in Long Island (Nassau & Suffolk Counties), Queens, Westchester, Rockland, Putnam & Fairfield Counties, Dynamic Service For Your Home & Business can offer prices other companies just cant beat. With over 40 years of experience, our technicians are provided with extensive training assuring you the quality service you should expect. Compare our prices and we know you will make us the tile & grout cleaning service company that you welcome in your home.
As with our other services, no salesmen will visit your home. We include in our cost what other companies charge extra for.
Contact Dynamic Service For Your Home & Business today for all your tile & grout cleaning needs! We service Long Island (including Nassau & Suffolk Counties), Queens, Westchester, Rockland, Putnam & Fairfield Counties.
Call today and we will include a complimentary grout lightener and sealant with any tile and grout cleaning service. A $150 value.
Call Today. Clean Today. Stays Clean Tomorrow",1
"Lovely private wooded area in Ardsley. Wonderful opportunity to build that dream home. Don't miss the chance to live in an exclusive home with privacy and elegance. Let your imagination run wild. Great property to build upon with enormous potential. Use the unique slope to create a dramatic rear yard incorporating terraces and decks with optional in-ground pool and stepped plateaus; the effect will be amazing! Property is in an R-3 Zone. Call Janet at 
 for a private viewing.",1
"TEXT OR CALL 646-404-4429


PROPERTY #152

4300 SQUARE FEET

$17,500 PER MONTH

AMAZING DEAL AT JUST $50 PER SQUARE FOOT!!!

BRAND NEW FULL FLOOR OFFICE THAT LANDLORD WILL BUILD TO SUIT TO YOUR BUSINESS' PERFECT LAYOUT

MASSIVE PRIME GRAND CENTRAL FULL FLOOR OFFICE WITH SOARING CEILINGS 

FULLY ATTENDED LOBBY WITH FULL-TIME DOORMAN. VERY WELL MAINTAINED PROFESSIONALLY MANAGED BUILDING. 

TEXT OR CALL 646-404-4429

EMAIL INFO@NYC-COMMERCIAL.COM 

NYC-COMMERCIAL IS MANHATTAN OFFICE SOLUTION. EVERY OFFICE LISTING ON THE MARKET. LET US HELP YOU FIND THE PERFECT OFFICE SPACE.",0
"Hello 
I am a ""PRIVATE LANDLORD""
THERE ARE NO BROKER FEES
I DO NOT GO BY JUST A FICO SCORE OR INCOME. I GO BY YOU AS A PERSON
I Have Apartments in CHELSEA CURRENTLY AVAILABLE
2 STUDIOS - *1100 A MONTH
2 1 BEDROOMS * 1500 A MONTH
1 2 BEDROOM * 1900 A MONTH
ALL ARE CURRENTLY AVAILABLE IF INTERESTED PLEASE SEND THE FOLLOWING
1. YOUR NAME
2. A PHONE NUMBER
WITHOUT YOU WILL NOT GET A REPLY
I WILL CALL BETWEEN
NOON AND 4 PM AND
8PM TO MIDNIGHT
THANK YOU
** ASK ABOUT A FREE MONTHS RENT 
** SERIOUS INQUIRIES ONLY PLEASE",0
"Listed Broker Fee Will Apply

Rarely available! 

Tranquil True Floor Thru 1-Bedroom in The EV Across From Tompkins Square Park!

This lovely walk up building is on one of the best blocks in Trendy East Village. Directly across the street from the lively Tompkins Square Park. The building is well-maintained by its long time superintendent. 

Oversized one bedroom, one bath, features windowed eat-in kitchen with full sized appliances and plenty of upper and lower cabinets for all of your storage needs. The apartment highlights high ceilings and hardwood floors throughout. Fantastic southern light streams in all day through the large windows overlooking Thompson Square Park. Freshly painted and cleaned and kitchen has been newly tiled.

Email With Name(s), Move Date And Mobile(s) For Access

Listed Broker Fee Will Apply",0
