ReviewText,ReviewStar,Product
"Very comfortable to wear and with it's provided ear rubber fittings it stays on even if you run, jump or shake your head. Battery life is as expected for it's size of battery, easily lasts for 3 to 3.5 hrs continuous playing. No problem what so ever while connecting and sound is pretty decent.. good bass.
",5,PTron Intunes
"Got it today, really loved the product.. awesome sound.. i was thinking to buy the Airpod but a friend suggested this to me.. Why spend so much!! So i ordered this and this really is amazing.. it looks good.. have great sound and doesnt hurt ua ears!! I am totally satisfied with this and couldnt say about battery as i have got it, today itself!
",5,PTron Intunes
"The product is surprisingly good. I thought at this price the functioning Will be basic. But they have included volume keys too. Audio quality and noise cancellation is also satisfactory. But the battery backup is very low. I'm only getting around 2.5 hrs backup while using calls. Also it starts saying ""Low battery!! Please charge!!"" once the charge is below 20% repeatedly making it literally unusable
",4,PTron Intunes
"These are excellent bluetooth earphones as expected! The sound is clear with  music , videos and phone calls. The caller can be heard very clearly as well as the caller can hear me with no disturbances. Also along with these ear - plugs are so that the chances of sliping reduces. It is best for  travelling as it is bluetooth earphones. Along with this you will be getting charging wire and main benefit is that you will be getting 1 year warranty with it😍😍😍
",5,PTron Intunes
"Good product at this price range , I love it. It's easy and and long lasting. I have been using for for few days and seems everything find . Good sound quality it has.
",5,PTron Intunes
"Main thing i like its design - its so simple whole earphones are very light weight that u'll not feel them anymore.Sound quality is awesome i got 2.5 to 3 hrs battery life that mentioned on the box.Value for money
",5,PTron Intunes
"Loving this superior lightweight design of Ptron headset that makes it easy to wear for long hours, it is a modern in-ear sweat-proof sports Bluetooth wireless headphones with mic and volume controlA perfect headset that I can carry anytime anywhere
",5,PTron Intunes
"Volume Level is very low,, not suitable for outdoor usage and music. So we can use wired headset itself 😆🤣😆
",3,PTron Intunes
"Blue tooth earfon are very comfortable to use, as they are very light in weight. The sound quality is excellent. Battery life is good. The product is worth it's price. It's sweat friendly, for sporting and gyming.
",5,PTron Intunes
"The sound quality of these earphones are just great- loving the base. Also the battery life is so long that i can travel the whole day without having to worry about charging them.They are easy to carry around and great to maintain. In love with them
",5,PTron Intunes
"Have been using it for a month while running. Good audio quality, bass is not that good but the beats are fine. Excellent product at this price. The built quality is also good. Must buy for those on a budget. Won’t regret.
",5,PTron Intunes
"Best product in this price range with good bass , fine and  clear sound quality , call handling also good,built material is nice and sturdy, long battery life and good Bluetooth range with great noise cancellation too ,...overall a thumps up..👍
",5,PTron Intunes
"Received it yesterday. It's awesome and for the price range it's really value for money. JBL provides the same product for 2k. Sound is verily crisp and clear with decent bass.
",5,PTron Intunes
"The sound is much impressive and bass is also good .. I bought it for my gym and enjoying too much battery is also good .. must try it
",5,PTron Intunes
"I got this product delivered today and I am very happy with the sound quality. It promises 3 hours and works comfortably for that long. I also love how good the sound is. You can go for it without any doubts . I really liked it because of the clear sound .
",5,PTron Intunes
"Basic handsfree..it doesn't have noise cancellation nor it has base..only stero sound.. may be you can 200 extra and get a good product
",3,PTron Intunes
"Sound quality is good however I am afraid of one of the function that is connecting multiple device on bluetooth at the same time. It is horrible to see that any random person can connect to my Bluetooth headphone without any permission. This sounds are played back and forth of multiple devices together.
",1,PTron Intunes
"PTron intunes pro wireless headphones are really amazing.. sounds quality well and enough loud with a good bass.  good looking and durable earphones better capacity only 70aMh but its work really well. I use it all day in a single charged.and its fully charged in 1.4 hours..
",5,PTron Intunes
"All the features are too good and work properly. One of the best thing is sound quality is good.Voicee quality (5/5)Ear fitting  (5/5)Cable quality (5/5)For this price there are no other better earphones available. So recommended to everyone must be buy with affordable price.
",5,PTron Intunes
"Sound quality is good bass is good battery life is also good this product is value for money ml
",5,PTron Intunes
"Lightweight and durable quality. They have awesome sound quality with enhanced noise cancellation. Battery life is also pretty good and gets charges in an hour. Been magnetic it is easy to manage them around. Best companion for everyone
",5,PTron Intunes
"Best Bluetooth earphone under 700 rupees great bass, Metal body, Bluetooth connection noise cancellation and very good sound quality i'm very happy with this product.
",5,PTron Intunes
"The quality of earphone is very good its connectivity is very awsome it has noise cancellation and its looking is awsome i just loved it the battery backup is also good best earphone i used ever
",5,PTron Intunes
"I was honestly surprised how well this product performs for 700₹. It also comes with rubber fin earbuds for better fit. I used it in the gym and they stayed on all time. Battery life is as promised ... Approx 1.5 hours of usage time. Would recommend.
",5,PTron Intunes
"Yesterday I got the delivery when I charge full Green light display but charge showing only 90%battery not showing 100% what was the issue plzz resolve it
",4,PTron Intunes
"I am looking for the best earphones online and then I got this one, sound quality and the bass is very good.
",5,PTron Intunes
"Like
",5,PTron Intunes
"This is really awesome Bluetooth earphones, sound is great.battery is good,connectivity is also good.value for money.
",5,PTron Intunes
"Go for itGood sound quality
",5,PTron Intunes
"Sound quality not that great...The ear plug pains in the ear...backup of only 2:30 hours which means you need to multicharge in a day...
",3,PTron Intunes
"It is an amazing product which gives magnetic wireless earphones in this price range with good quality of sound and mic
",5,PTron Intunes
"Can be connected to 2 devices at the same time. Sound is loud. Quality of sound is also good for price range. So far the battery seem good.
",4,PTron Intunes
"Disastrous battery life. Difficult to connect. Pay more and get a better product
",1,PTron Intunes
"Sound quality was fantastic you can buy and enjoy the experience it can't say in words
",5,PTron Intunes
"Bohot hi acha product he our sounds bhi bohot acha he iska use man and woman bhi kr skte he I personally try this nice looking and superb battery
",5,PTron Intunes
"It's easy to use and the sound quality is good.It doesn't pain while wearing them.It's been working for 30 min. Will see if it will last 3h.In the overall it's a good product👌
",5,PTron Intunes
"Awsome  but they send 2 right side ear tips only. I thik that was a human  mistake. Without eartips sound quality. But I can't test the performance without leftside eartips
",3,PTron Intunes
"Its an excellent product.  The sound quality is awesome , which eliminates the outer noise. The battery life is also good. Its easy to use and very good .
",5,PTron Intunes
"I like the design and sound quality is also good connectivity and battery life is also very niceGood to but in such prices I had been using for 1 month
",4,PTron Intunes
"Good as i thought
",5,PTron Intunes
"No long battery back up.. But overall good...
",4,PTron Intunes
"The battery life is really good, using it from 3 days without charging( average usage 1+ hour a day). Sound quality is also good.
",5,PTron Intunes
"The noise is okay but the sound is too small when you are in call you cannot hear what the other person is speaking to you. And battery is dead most of the time.
",2,PTron Intunes
"Great headphones
",5,PTron Intunes
"Disappointed with the performance not getting the sufficient battery backup maximum of 1.7hrs average. Also it's turned off automatically some time.
",3,PTron Intunes
"Nice pordecte
",5,PTron Intunes
"Battery life is very less. Lasts 2-3 hours.  It is only for listening.. Speaker phone isn't loud and clear.. Better to spend a bit more but buy a decent product.
",2,PTron Intunes
"Its simply awesome
",5,PTron Intunes
"Go ahead if you are looking for an apple style ear buds with great sound quality.Btw... I love the magnets too ;)
",5,PTron Intunes
"Ok product
",4,PTron Intunes
"Sound quality is quiet goof according to the cost of the device.but battery life is not up to the mark but still good in accordance to this price point
",4,PTron Intunes
"It's a good and value for money earphones. Happy to buy this.
",5,PTron Intunes
"Cheap
",3,PTron Intunes
"Good quality
",5,PTron Intunes
"SOO GOOD... I AM VERY SATISFIED... SOUND QUALITY IS AWSOME...
",5,PTron Intunes
"Cheap and best
",4,PTron Intunes
"Earphones working awesomeSuper sound qualityBluetooth function is niceSuper material qualitySuper base
",5,PTron Intunes
"It's good for the value
",4,PTron Intunes
"Length is too short and Battery backup is poor
",3,PTron Intunes
"Sound Quality Is OkBattery Backup Not Good
",3,PTron Intunes
"Awesome product. Amazing sound quality.
",5,PTron Intunes
"Good
",4,PTron Intunes
"Cheap product and cheap quality. Battery back up is extremely poor. Ear bud covers grips is also poor. Avoid this product.
",2,PTron Intunes
"Good for calls. Useless for music. Better to get a Bluetooth receiver for 1000 and use existing wired headphones.
",3,PTron Intunes
"Only worked nearly one month..
",1,PTron Intunes
"Sound Quality is good in closed rooms, home or office, But when we are in the outdoor like bus it's not that great!
",4,PTron Intunes
"awesome product for the price
",5,PTron Intunes
"awesome product.
",5,PTron Intunes
"Good quality ....but battery drains fast after 3hrs
",5,PTron Intunes
"The headphones are nice, don't expect too much from it. Sound quality is OK, battery is average.
",4,PTron Intunes
"The battery of the not very good
",1,PTron Intunes
"Good product and sound clarity superb
",5,PTron Intunes
"Better
",2,PTron Intunes
"Cheap quality in functionality and keep disconnecting and automatically pause.
",1,PTron Intunes
"Gd one
",5,PTron Intunes
"Noise cancellation is won't working properly..N ear fitment is also too hard...that start aching in ear.
",4,PTron Intunes
"OK for this price...
",3,PTron Intunes
"Battery back up 1 hour...
",1,PTron Intunes
"Highly recommended
",5,PTron Intunes
"I am not able to use it for calls. For playing video and songs it is completely fine but not for calls
",1,PTron Intunes
"Not interested
",3,PTron Intunes
"Good product nice
",5,PTron Intunes
"Nice Product Superb one
",5,PTron Intunes
"It doesn’t justify the its price in sound quality
",2,PTron Intunes
"Awesome
",5,PTron Intunes
"Value for money
",5,PTron Intunes
"the quality not as expected
",2,PTron Intunes
"Good
",5,PTron Intunes
"Good product in the price range
",4,PTron Intunes
"Not as aspected ! Range is not good. Microphone is very bad. Speaker is good.
",2,PTron Intunes
"Good sound quality and the colour combinations used are good
",5,PTron Intunes
"Liked the product and pricing
",5,PTron Intunes
"No bass
",3,PTron Intunes
"Sound quality and wireless capability is not so strong.
",3,PTron Intunes
"Built quality is not as much as it seems so wrt value of money I paid.
",2,PTron Intunes
"Within 25 days the right side of the earphone is not working properly.
",1,PTron Intunes
"Don't buy
",1,PTron Intunes
"Good
",4,PTron Intunes
"Sound clarity is ok.. But This earphone is not for bass lovers..
",3,PTron Intunes
"Doesn't stable during workouts... Keep dangling
",3,PTron Intunes
"I like it and very nice product, i enjoy daily music and videos
",3,PTron Intunes
"Battery life is poor, sound not good and volume issues
",2,PTron Intunes
"Good quality and sound is also good.
",3,PTron Intunes
"Please improve noise cancellation,
",1,PTron Intunes
"Battery life is super.....low bass and high treble.......
",4,PTron Intunes
"More cost but quality of product is normal only
",3,PTron Intunes
"Good sound quality  easy-to-use
",5,PTron Intunes
"Nice one
",3,PTron Intunes
"I liked the quality  but I disliked the battery life
",3,PTron Intunes
"Good
",3,PTron Intunes
"Good
",5,PTron Intunes
"Not good sound
",2,PTron Intunes
"Battery life is too bad... draines in a hour
",3,PTron Intunes
"Good stuff. Please consider.
",5,PTron Intunes
"Good
",5,PTron Intunes
"Good Earphones  in this  price
",4,PTron Intunes
"Overall good product..
",4,PTron Intunes
"Good qiality
",5,PTron Intunes
"Not worthy for this amount
",3,PTron Intunes
"Awesome as i expected ❤❤❤
",5,PTron Intunes
"Terrible
",1,PTron Intunes
"Battery could have been better
",4,PTron Intunes
"Not advisable to buy
",1,PTron Intunes
"Nice
",2,PTron Intunes
"Nice
",4,PTron Intunes
"Perfect in this price range
",4,PTron Intunes
"Not good
",1,PTron Intunes
"battery life was good
",3,PTron Intunes
"Best product
",4,PTron Intunes
"Good
",5,PTron Intunes
"Good q.....price 😂
",4,PTron Intunes
"As expected
",4,PTron Intunes
"Very good product
",5,PTron Intunes
"Not happy
",1,PTron Intunes
"Ni issues
",4,PTron Intunes
"Nice
",5,PTron Intunes
"i bought this earphone for my friend, i thought the price was reasonable so bought this, after  receiving my order i must say the sound quality is superb , price is good and easily carry anywhere...color of earphone is attractive red with black mix, this is wireless Wireless no longer means poor sound, either.Bluetooth audio sounds much better than it ever has. It comes with some latest and good technology. After using it you don't have to worry about the damaged or tangled wires, Noise or winds because it will do all the required adjustment to Hear and be heard perfectly. I am happy with this product ,will recommend to my other friends also. Amazing product as a photographer its helps me alot becouse this is wireless earphone. ❤️ I love too spend some money on  latest products from ptron 🎧 😊❤️
",5,PTron Intunes
"This is a very cheap quality earphone. It's stopped working after one week of usuage. My friend gifted for my bday. My personal experience is sound quality is good at first few days, after that lot of disturbances while watching movies. Call quality also not that much great. After a week it stopped working.  Totally iam disappointed with this  So pathetic experience. I won't recommend this kind of earphone.
",1,PTron Intunes
"Guys don't buy this product, waste of money , sound quality is too low& battery worst no use... Useless earphones
",1,PTron Intunes
"Nice Product.. sounds good quality . ... Better.. good nice.. one hhhf hhv hhf jhf hhf hhf jhf jhf bb
",5,PTron Intunes
"This is a good product i am impressed for this product and i am recommending all people buy this product
",5,PTron Intunes
"Nice
",5,PTron Intunes
"I bought it from croma south ex, just would like to say , it is Awesome!! Go buy!!
",4,PTron Intunes
"Verry good product .. I like t but battery life is a short tam  I not happy ....
",4,PTron Intunes
"Value for money go for it 👍
",4,PTron Intunes
"Like
",1,PTron Intunes
"I like this ptron intunes magnetic wireless earphones , good earphones , and excellent quality sound output , easy to contectvity and less weight , good bass , batter backup also good , and it's good at this price point, thanks to ptron...
",5,PTron Intunes
"Excellent earphone. Loved it. Really amazing.while doing gym it's very comfort, listening songes its very nice and awesome. While playing games also it very comfortable.
",5,PTron Intunes
"Best product in budget. I always wanted a headphone like this. Feeling lucky to have it. Quality sound with good bass. It's worth the money. Noise cancellation is the most unique feature it has. Enjoy calling on the go without any disturbance. High battery backup. Enjoy long lasting songs.
",5,PTron Intunes
"in this cost PTron Intunes Pro Headphone  are very good as there is Magnetic Earphone  by which we can leave all time hanging in neck even when we are not using it ..Wireless Bluetooth connectivity is also good with quality of  Headset with Mic and battery backup is also good and bass and sound qualit is nice.!!
",5,PTron Intunes
"I was searching for this this type of product from long time. Its very useful. Before i was using wired earphone but it was trouble... But this one is awesome. Easy to use, good battery backup. Overall good in this price range
",5,PTron Intunes
"One of the best pair of headphones, truly worth every penny and believe me when i say this, the quality will literally shock you, its so amazing!Perfect in the presentation and also really perfect in the sound qualityAlso the battery runs like anything, truly worth itYou will not find better in this price, go for it now!
",5,PTron Intunes
"I loved this product.  Battery and noise cancellation are pretty good . It's really hard to find a good wireless headphone in this range . But this is an exception . It comes with extra rubber buds for sports activity .
",5,PTron Intunes
"First time I ordered blootooth headphones when I am ordering m lil bit scared 🙈🙈and excited about it and now m using it from a week it's amazing purchase of mine ....it has good battery backup  a normal user of hedphones can use it 2 days in a single charge it's affordable as  we got good discount ,its value for money purchase .....it's  just amazing...  sound quality is awesome it has good bass  it's magnetic feature make headphone to carry easily just by wearing in neck like a necklace its worth burying
",5,PTron Intunes
"Using this since past 2 days non stop.. I am kind of addicted to it now.. The sound is amazing, design is so sleek and it's so light weight that I even wear it while cooking.. I feel this was the most needed product for my life.. Being wire free is revolutionary.. So many tasks can be done without worry. It has magnets so when you are not using them just stick them together and it will prevent from falling off your neck.. I love this headphones but now my hubby took it away.. Ordering another one 😀
",5,PTron Intunes
"I was searching for a Bluetooth earphone as I love to workout and do running for which wired earphone was bit clumsy. I found this product read about it and found it useful... I must say this earphone has all the qualities which is comparable to jbl and good costly brands Bluetooth earphone but at half their range. superior lightweight design headset makes it easy to wear for long hours it supports upto 3 hours of call time with good quality mic and easy to wear. Moreover it comes with 6 months warranty.
",5,PTron Intunes
"First of all the build quality is awesome.it is very comfortable to wear.we can hear songs for a long time without any ear pain.battery life is also good.it work up to 4 hours by listening to music .came with good packaging and no damage.
",5,PTron Intunes
"I really love this wireless earphones as there sound is amazing i can feel the bass also. Its is sweatproof also so you can wear it in gym also. Its battery life is also long.you can use it for 1-2 hour countinously. It is comfortable also
",5,PTron Intunes
"Battery life is amazing.. Sound quality is superb I like the bass it awsome.. Thanks amazon for the great service
",5,PTron Intunes
"I was looking for wireless earphones to use in gym.I ordered these and I am happy with it.The sound quality is excellent and it gives a good degree of noise cancellation.The battery life is amazing.I charge it once a week when I use it for 2-3hrs daily.
",5,PTron Intunes
"I am really happy with product as it has very nice sound quality as well as good battery back up.Good quality of product and really affordable.
",5,PTron Intunes
"Absolutely love this product.Perfect for daily use or gym use.Convenient as I can leave my phone on the side and work around.sound quality is also amazing.
",5,PTron Intunes
"It worked for 2 days and then got it actual face.Very bad qualityI returned it
",1,PTron Intunes
"Its worth the price, the sound quality is really nice , I did not want to spend 2k on a branded one so bought this one and satisfied with my purchase
",5,PTron Intunes
"Sound quality is terrific with long lasting battery, easy to connect and charging very fast as expected, bass is awesome finally worth for each penny
",5,PTron Intunes
"An awesome quality bluetooth wireless earphone with great bass and sound and i recommend it to all my friends
",5,PTron Intunes
"I've been using the product from past week and I've been surprised by it's performance.. let's talk about few things i really liked.- it's very light weight- battery last around 6 - 8 hours depending on usage.- it fit perfectly for my ear with the support given (people may have issues if they hav small ears)- sound is clear and crisp.Although base could hav been better but you can't ask for much at this price as i have used heavier one they fall out while jogging so this one seems like a better choice.
",5,PTron Intunes
"sound quality is to good. controllable noise cancellation and moisture wicking is very good.
",5,PTron Intunes
"very clear sound and nice product
",4,PTron Intunes
"Overall good item
",3,PTron Intunes
"Not bad
",3,PTron Intunes
"The product is amazing with a great battery life (usage after 1 week) and noise cancellation and sound quality are top notch not only that but it has such low weight and the package is perfect.
",5,PTron Intunes
"First time ordered this Bluetooth headphones, was afraid first but it came out pretty good. The quality is fine. The colour is good. The Bluetooth connectivity is at a very high speed, connects very quickly and easily. The buttons r perfect. Shows green n red right while on n off. The speakers have a magnetic joint. The sound quality is pretty good n clear. Can be controlled with the volume buttons. The noise cancellation is a great feature, soundproofs extra voices around. The moisture wicking ear plugs r an extra advantage. Helps in keeping the sweat away. Battery works for quite a good 4 hrs. Comes with charging USB.
",5,PTron Intunes
"Build quality is good. On This price best headphone
",5,PTron Intunes
"This PTron intunes pro headphone is too amazing, sound quality is so amazing that you cnt hear a single word from outside.I am totally in love with it. Its look so classy and rich that it gives you an amazing look.
",5,PTron Intunes
"Within two days of purchase it stopped working. When put on charging it's not charging and not even switching on.
",1,PTron Intunes
"This earphones are  designed to reduce external noise, typically by generating a sound wave that cancels it out.This set of Bluetooth earphones are lit as the can be used for cycling,jogging & running coz its sweatproof so no woories for damage to the earphones and also it gets cliped to the ears an will not be removed easily while cycling, running & jogging.Appart fro all this it have 1 year of warranty.This Bluetooth earphones have magnets at their plugs which helps it to be free easily it can't be easily messed up.It's a total value for money product worth to buy this Bluetooth earphones
",5,PTron Intunes
"Good product
",3,PTron Intunes
"The product is good at the price range. Good sound quality , noise cancellation can be more better. But the product quality is excellent at this price range. Best to use during workout , no pain in the ear due to lomg usage.
",5,PTron Intunes
"Product delivery was on time and thumbs up to Amazon team. But product quality has disappointed me big time - material for the controller doesn't look like made of any alloys... very plasticky and cheap feel, sound quality is also very poor, lacks base which many of us prefer in our earphones. I know, its Chinese make product with 700 bucks of price tag, but has way to go for perfection. Overall 2 star rating purely for Amazon delivery promise. Think before you buy it guys.
",2,PTron Intunes
"Just amazing product, decent noise cancelation, but looks very trendy, I am in love with this product, it made my travelling so much fun, it fits perfectly in your ears, can use for longer time also, it special grooves with fits into your ear cartilage makes it very nice and comfortablePackaging was also very nice
",5,PTron Intunes
"West of money
",1,PTron Intunes
"I purchased from ptron headphones earlier another model. They were excellent. So purchased again from this brand. Here my initial impressions.Material used is good, decent quality and flexible.Sweat proof is ok.Noise cancellation is decent.Sound is ok but do not expect much based on price.Heavy bass not involved.Surrounding sound is goodTreble and noise levels are good but if it included with a bit base these could be more than promised for the customer.
",5,PTron Intunes
"Very Good
",5,PTron Intunes
"The product is amazing and design is perfect and sound quality is amazing.As we talk about battery life it is amazing and product quality is outstanding.
",5,PTron Intunes
"Some connection problem
",4,PTron Intunes
"Best worn inside helmet... I personally use this device for getting navigation audio commands
",5,PTron Intunes
"1) the length of the wire is a  couple of inches short2) extremely heavy on one side and keeps falling off from the ear beause of the weight.3) the buds provided with the headset are loose. The bud stays in the ear while the ear phone pops out.4) within a day of using the headset the buds fell off and got lost.  There after unable to use this product. The ear phone don't fit properly in the ear without the buds.5) the Bluetooth keeps getting disconnected.6) no warning before shutting off, because of low charge. If you are in a call, there is hardly any warning of low battery.
",1,PTron Intunes
"Can be purchased
",5,PTron Intunes
"Average sound quality, below average noise cancellation. But nothing more can be expected at this price range....2stars max...
",2,PTron Intunes
"Sound quality is okay no bass. It does give a back up for appox 2hrs as mention in the description. However it shouldn't be more than 500.
",3,PTron Intunes
"Awesome product
",5,PTron Intunes
"Firstly- the sound quality is awesome.  I talked to my mom and she confirmed that my voice was very clear.  Unlike my Bluetooth device i had earlier..it has very effective noice cancellation.Secondly I listened to music and some vedios on this and sound quality is very nice in that also.  Good Bass. The music comes very clear.Third- I found this very convenient to wear it does not hurt your ears at all,plugs are very nice also they get attach to each other,  as it's sides have magnet.  So no worries.Fourth- Also it is very easy to receive calls on this by clicking the centre button and changing tracks while listing to music by long pressing + buttonLast but not the least very good battery back up.  I am quite happy with this product.
",5,PTron Intunes
"Super product quality also superb I love it
",5,PTron Intunes
"The product is awesome. Built-in quality is outstanding. It is having clear sound and noise cancellation functions. Made of durable long lasting materials. Very satisfying while using. Base is good. You must have a try of this product.
",5,PTron Intunes
"Sound quality is not up to mark.
",3,PTron Intunes
"Device does not connect to my phone anymore. It did the first time, half a day later does not reconnect at all. Some issue with the pairing.
",1,PTron Intunes
"Battery life is very very poor and it is heavy.
",1,PTron Intunes
"What a earphone under such a good and low price believe it guyz we can go for it without any hesitation thanks to Amazon
",5,PTron Intunes
"On a single charge, you can listen songs and talk upto 6 hrs, this is the best part of this headphone,Noise cancellation and bass is perfect for music lovers,Earbuds are perfectly fit in ear...Thanks Amazon to provide such products
",5,PTron Intunes
" nice bluethood capacity its work amazingly i like this product very much soud quality is very exellent i love the sound of this earphone and its battery capicity whole day.....
",5,PTron Intunes
"Good
",5,PTron Intunes
"Pathetic Headphones. U can get better headphones at this price. Quality is poor. Look of headphones is cheap. If i charged it for 2 hrs, it will for only 1hr.
",2,PTron Intunes
"👌good one
",4,PTron Intunes
"Okay ..not so great.. it's notcatching the wavelength if it  crosses the 10 feets
",3,PTron Intunes
"Nice product  my add gift wrapper plz add gift wrap
",1,PTron Intunes
"Good sound quality easy in handle good resale value good wide rage conectivity upto 10 meters Best product in best price
",5,PTron Intunes
"I like
",5,PTron Intunes
"mike weight is heavy and delicated
",2,PTron Intunes
"The product is good for the price but right when the battery comes to 20% it keeps saying  battery low every 3 sec. So last 20% can never be used.
",4,PTron Intunes
"One of my favourite product. Sound quality is mind blowing and it perfectly fits in every criteria for the best wireless bluetooth headset and also the the price is affordable. I have used several other wireless earphones but this one checks out all of them.
",5,PTron Intunes
"Wireless magnetic earphones was an total pack of suprise starting with the packaging,build quality and the sound. All of them were very good and perfect also crisp .This is very light weight .
",5,PTron Intunes
"I liked the product. Except for the fact that the volume/power instrument is on one side, putting all the weight on the right side. So the left one keeps getting pulled to the right.However, otherwise the product is a bang for the buck.
",4,PTron Intunes
"value for moneyits sound quality is good but get stuck anytime during your watching
",4,PTron Intunes
"Not working not a quality product
",1,PTron Intunes
"Dislike
",1,PTron Intunes
"The earphone has crystal clear sound quality with very good bass and the noise cancellation also works fine, the battery backup is good and gives music playback time of 3 hours, best Bluetooth earphones in this price by PTron.
",5,PTron Intunes
"Price must be less
",4,PTron Intunes
"Good earphone for its price with decent build quality.. I felt the bass was a little artificial and the overall sound was not balanced but it does the job.. For this price its a good value for money.
",3,PTron Intunes
"Awesome sound.i love the bass of it. Very high quality sound as I use dem on my I pod 5th gen.i recommend everyone to buy this.
",5,PTron Intunes
"Fits so good and gets in comfortably . Goes all Day long good battery i don't use continues but use frequently and battery stays all dayloved it's calling ease and light weight .sound is crispy and clear makes you hear every word clear and you enjoy music to best you can.
",5,PTron Intunes
"Best and good  product with very effective , clear and hd sound quality, connectivity with bluetooth is very smooth and fast, no noise disturbance on calls ,  listing to music with walking , running very easy also there is absolute moisture wicking productI am very happy to bought this product
",5,PTron Intunes
"Yes i like this...
",4,PTron Intunes
"loving the sound that these earphones give...have used many brands but they are not worth thr price...i believe this is the best deal u will get at this price range...dont think go for it
",5,PTron Intunes
"Is A Amazing Product....The Sound Quality Is Fantastic As Compared To Price.... The Built Quality Is Good...Just Loving It...
",5,PTron Intunes
"Best buy... Using it from 3 days, Sound quality is awesome like JBL, good battery backup.. better noise cancelling.. The best thing is getting Bluetooth earphone with one year warranty at such price.. Happy customer....
",5,PTron Intunes
"Buttons doesnot work
",1,PTron Intunes
